Product Name,Product Link,Product Price
Fresh Salmon Head,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-head-pkg/p/1777,274
Fresh Whole Nile Perch,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-wh-pkg/p/181181,1598
Fresh Rock Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-rock-cod-fillet-pkg/p/181163,1199
Fresh Sea Bass Whole,https://www.carrefour.ke/mafken/en/fish/frozen-tilapia-filets-kenya-pkg/p/181155,3398
Fresh Red Snapper Whole,https://www.carrefour.ke/mafken/en/fish/fresh-red-snapper-wh-pkg/p/181150,1998
Fresh Salmon Whole,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-wh-pkg/p/181153,8398
Frozen Shrimp Peeled,https://www.carrefour.ke/mafken/en/frozen-lobster-shrimp-cigal/frozen-shrimps-queen-peeled-pkg/p/181211,1399
Fresh Tiger Shrimps 1620,https://www.carrefour.ke/mafken/en/fresh-shrimp/fresh-shrimps-tiger-16-20-pkg/p/181203,1645
Frozen Lobster,https://www.carrefour.ke/mafken/en/frozen-lobster-shrimp-cigal/frozen-lobster-pkg/p/181207,1649
Chicken Spring Roll,https://www.carrefour.ke/mafken/en/ready-meals/spring-roll-chicken-pc/p/131348,89
Omena Ugalispinach Rmp,https://www.carrefour.ke/mafken/en/ready-meals/omena-ugali-spinach-rmp/p/113069,180
Vegetable Samosa,https://www.carrefour.ke/mafken/en/ready-meals/samosa-vegetable-pc/p/131347,99
Mini Beef Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-beef-samosa-pc/p/178504,69
Roasted Chicken Leg Lemon Herbs,https://www.carrefour.ke/mafken/en/ready-meals/roasted-chicken-leg-lemon-herbs-pc/p/7656,190
Mini Chicken Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-chicken-samosa-pc/p/178505,69
Mandazi,https://www.carrefour.ke/mafken/en/ready-meals/mandazi-by-pc/p/48742,20
Beef Samosa,https://www.carrefour.ke/mafken/en/ready-meals/samosa-beef-pc/p/131344,79
Roast Chicken Breast Bone in Lemon,https://www.carrefour.ke/mafken/en/ready-meals/roast-chicken-breast-bon-in-lemon/p/7653,190
"Toast Mayai, Smokie, Boiled Egg  Salad",https://www.carrefour.ke/mafken/en/ready-meals/snack-egg-n-sausage-toast-pc/p/65751,119
Chapati Mayai With Sausage,https://www.carrefour.ke/mafken/en/ready-meals/snack-egg-n-sausage-chapati-pc/p/65752,135
Gizzard In Gravy  Ugali Rmp,https://www.carrefour.ke/mafken/en/ready-meals/gizzard-in-gravy-ugali-rmp/p/113066,205
Cripsy Chicken Leg Spicy,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-leg-spicy-pc/p/120258,285
Crispy Chicken Breast Spicy,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-breast-spicy-pc/p/120259,285
Cripsy Chicken Breast,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-breast-pc/p/120256,200
Mini Mutton Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-mutton-samosa-pc-60gm/p/178509,69
Carrefour Beef Stew White Rice,https://www.carrefour.ke/mafken/en/ready-meals/crf-beef-stew-white-rice-pc/p/218048,250
Pasta With Beef Bolognese,https://www.carrefour.ke/mafken/en/ready-meals/pasta-beef-bolognese-rmp/p/106250,239
Carrefour Chapati Beans,https://www.carrefour.ke/mafken/en/ready-meals/crf-chapati-beans-pc/p/218053,190
Carrefour 8 Leaves Pastry Brick 136g,https://www.carrefour.ke/mafken/en/samboussa/crf-8-leaves-pastry-brick-136g/p/33524,599
Combo Beef Sausage With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-sausage-fries/p/136098,175
Carrefour Breaded Chicken Burger.,https://www.carrefour.ke/mafken/en/sandwich-bap/crf-breadded-chicken-burger-pc/p/221914,165
Combo Chicken Breast With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-chicken-breast-fries/p/134499,275
Combo Beef Burger With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-burger-fries/p/134496,235
Combo Beef Scotched Kabab With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-kebab-scotched-fries/p/136096,210
Carrefour Breaded Chicken  Fries.,https://www.carrefour.ke/mafken/en/sandwich-bap/crf-breadded-chicken-fries-pc/p/221915,199
Farmer's Choice Sandwich Ham 200g,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-sandwich-ham-200g/p/40508,299
Farmers Choice Beef Sausage 1Kg,https://www.carrefour.ke/mafken/en/beef/farmers-c-valu-pack-beef-sausage1kg/p/40473,685
Farmers Choice Streaky Bacon 200 Gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-streaky-bacon-200g/p/40480,452
Farmers Choice Pork Sausages 1Kg,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-value-pork-sausages-1kg/p/40466,710
Farmers Choice Streaky Bacon 400 gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-streaky-bacon-400g/p/40481,716
Farmers Choice Safari Beef Sausages 500G,https://www.carrefour.ke/mafken/en/beef/farmers-c-safari-beef-sausages-500g/p/40427,369
Farmers Choice Classic Pork Sausage500G,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-ch-classic-pork-sausage500g/p/40428,367
Farmer's Choice Beef Smokies Labless 1Kg,https://www.carrefour.ke/mafken/en/beef/farmers-cho-beef-smokies-labless1kg/p/40499,530
Choice Meats Beef Sausage 1Kg,https://www.carrefour.ke/mafken/en/beef/choice-meats-v-pack-beef-sausage1kg/p/40419,577
Farmers Choice Spicy Pork Sausages Value Pack 1 kg,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-spicy-pork-sausages-vp1kg/p/40438,719
Farmers Choice Collar Bacon 100 gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-collar-bacon-100g/p/40448,190
Farmer's Choice Value Pack Chicken Sausage 1Kg,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/farmers-c-v-pack-chicken-sausage1kg/p/40418,705
Farmer's Choice Beef Brawn Slice 200g,https://www.carrefour.ke/mafken/en/beef/farmers-choice-beef-brawn-slice200g/p/40449,142
Farmer's Choice Beef Smokies 900g,https://www.carrefour.ke/mafken/en/beef/farmers-choice-beef-smokies-900g/p/40443,528
Farmers Choice Extra Long Pork Frankfurters 500g,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-long-frankfurters-sau500g/p/40486,541
Farmers Choice Spicy Beef Sausage 1Kg,https://www.carrefour.ke/mafken/en/beef/farmers-c-spicy-beef-sausages-vp1kg/p/40416,738
Farmers Choice Collar Bacon 400G,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-collar-bacon-400g/p/40437,739
Farmer's Choice Extra Long Beef Vienna Sausages 500G,https://www.carrefour.ke/mafken/en/beef/farmers-c-long-beef-vienna-saus500g/p/40501,541
Farmers Choice High grade Mince Beef 500 gr,https://www.carrefour.ke/mafken/en/chicken/farmers-c-highgrade-mince-beef-500g/p/40462,483
Farmers Choice Chicken Burger 400 gr,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/farmers-choice-chicken-burger-400g/p/40514,359
Farmers Choice Fresh Beef Burger 400 gr,https://www.carrefour.ke/mafken/en/beef/farmers-choice-frsh-beef-burger400g/p/45422,357
Farmer's Choice Long Beef Smokie 400g,https://www.carrefour.ke/mafken/en/beef/farmers-choice-long-beef-smokie400g/p/40433,268
Farmer's Choice Danish Pork Hot Dogs 500g,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-danish-pork-hotdog500g/p/46286,357
Farmer's Choice Beef Brawn Slice 500g,https://www.carrefour.ke/mafken/en/beef/farmers-choice-beef-brawn-slice500g/p/40429,339
Carrefour Smoked Herring Fillet 200g,https://www.carrefour.ke/mafken/en/sea-foods-/crf-fillet-hering-smoked-soft-200g/p/136674,1069
Farmer's Choice Poultry Vienna 500g,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/farmers-choice-poultry-vienna-500g/p/40420,565
Italian Pork Salami,https://www.carrefour.ke/mafken/en/salamis/pork-salami-italian-fc/p/42231,435
Kenmeat Mini Boerewors 500g,https://www.carrefour.ke/mafken/en/other-meat-slices/kenmeat-mini-boerewors-500g/p/167777,550
Farmer's Choice Tasty Chicken Mini Bites Sausages 500g,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-tasty-chick-m-b-sau500g/p/40470,380
Kenchic Smoked Chicken Sausages 900G,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/kenchic-chicken-smoked-sausages900g/p/20650,507
QMP Quality Chicken Brawn 200g,https://www.carrefour.ke/mafken/en/chicken/qmp-chicken-brawn-200g/p/7086,100
Kenchic Chicken Sandwich 200g,https://www.carrefour.ke/mafken/en/chicken/kenchic-chicken-sandwich-200g/p/51891,325
Farmers Choice Polony 200 gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-polony-200g/p/40450,319
Kenchic Vacuumed Chicken Roll,https://www.carrefour.ke/mafken/en/chicken/vacc-roll-chicken-kenchic/p/103241,404
Farmers Choice Choma Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-turkey/choma-sausage-beef/p/28453,158
Kenmeat Boerewors 1kg,https://www.carrefour.ke/mafken/en/other-meat-slices/kenmeat-boerewors-1kg/p/167776,980
Farmers Choice Garlic Pork Salami,https://www.carrefour.ke/mafken/en/salamis/vacc-pork-salami-garlic-fc/p/44164,185
Choma Beef Smokie,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/beef-sausage-smokie-pkg-fc/p/178658,138
Boerewors Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-turkey/beef-sausage-boerewors-pc/p/121512,75
Kenmeat Peri Peri Beef Sausage 1kg,https://www.carrefour.ke/mafken/en/beef/kenmeat-beef-sausage-peri-peri-1kg/p/167771,765
Counter Griller Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-turkey/counter-beef-griller-sausage/p/7667,795
Peri Peri Beef Sausage,https://www.carrefour.ke/mafken/en/smocked-roasted-beef/sausage-beef-periperi-kg/p/204817,185
Bel's Organic Ginger Garlic Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-ginger-mix-250g/p/260,665
Bels Organic Garlic Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-paste-250g/p/256,665
Bels Organic Ginger Paste 250g,https://www.carrefour.ke/mafken/en/dips/bels-organic-ginger-paste-250g/p/258,599
Bel's Organic Ginger Garlic Paste 350g,https://www.carrefour.ke/mafken/en/dips/bels-organic-garlic-ginger-mix-350g/p/261,899
Bels Organic Ginger Paste 350g,https://www.carrefour.ke/mafken/en/dips/bels-organic-ginger-paste-350g/p/259,799
Core Freshly Ground Garlic 250g,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-garlic-250g/p/212734,651
Core Freshly Ground Ginger 250g,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-ginger-250g/p/193668,579
CORE FRESHLY GRND GINGER&GARLIC250G,https://www.carrefour.ke/mafken/en/dips/core-freshly-grnd-ginger-garlic250g/p/193672,651
Kenchic Snacky Chicken Bite 125g,https://www.carrefour.ke/mafken/en/pate/kenchic-chicken-snacky-bite-125g/p/51893,99
Core Freshly Ground Ginger And Garlic 350g,https://www.carrefour.ke/mafken/en/dips/core-freshly-grnd-ginger-garlic350g/p/193673,896
CORE FRESHLY GROUND GARLIC 350G,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-garlic-350g/p/193669,896
CORE FRESHLY GROUND GINGER 350G,https://www.carrefour.ke/mafken/en/dips/core-freshly-ground-ginger-350g/p/193671,779
CRF LUMPFISH EGGS RED 80G,https://www.carrefour.ke/mafken/en/sea-foods/crf-lumpfish-eggs-red-80g/p/136698,1729
CRF BLACK LUMP EGGS 80G,https://www.carrefour.ke/mafken/en/sea-foods/crf-black-lump-eggs-80g/p/136699,1729
Crf Anchovy Capers Roll 100G,https://www.carrefour.ke/mafken/en/dressing/crf-anchovy-capers-roll-100g/p/33530,1169
Brookside Salted Butter Wrap 500G,https://www.carrefour.ke/mafken/en/salted-butter/brookside-salted-butter-wrapper500g/p/43271,932
Brookside Unsalted Butter Wrap 500G,https://www.carrefour.ke/mafken/en/unsalted-butter/brookside-unsalted-butter-wrapp500g/p/43272,932
Brookside Salted Butter Tub 250G,https://www.carrefour.ke/mafken/en/salted-butter/brookside-salted-butter-tub-250g/p/43273,499
Brookside Unsalted Butter Tub 250G,https://www.carrefour.ke/mafken/en/unsalted-butter/brookside-unsalted-butter-tub-250g/p/43274,499
Kcc Butter Salted 500G,https://www.carrefour.ke/mafken/en/salted-butter/kcc-butter-salted-500g/p/11722,898
Lurpak Salted Spreadable 500G,https://www.carrefour.ke/mafken/en/salted-butter/lurpak-salted-spreadable-butter500g/p/109907,1495
Daima Butter Unsalted 500G,https://www.carrefour.ke/mafken/en/unsalted-butter/daima-butter-unsalted-500g/p/16009,735
Ballyrashane Iris Salted Butter 500G,https://www.carrefour.ke/mafken/en/salted-butter/ballyrashane-iris-salted-butter500g/p/123655,1395
Daima Butter Salted 500G,https://www.carrefour.ke/mafken/en/salted-butter/daima-butter-salted-500g/p/16008,735
Flora Buttery Taste Spread 250G,https://www.carrefour.ke/mafken/en/light-margarine/flora-buttery-spread-250g/p/109167,420
Lurpak Unsalted Spreadable 500G,https://www.carrefour.ke/mafken/en/unsalted-butter/lurpak-unsalted-spreadable-500g/p/121601,1495
Flora Buttery Taste Spread 500G,https://www.carrefour.ke/mafken/en/light-margarine/flora-buttery-spread-500g/p/109168,830
Farmers Choice Frozen Pork Loin Chops 500g,https://www.carrefour.ke/mafken/en/margarines-other-spread/farmers-c-frozen-pork-loin-chop500g/p/39069,753
Daima Butter Salted 250G,https://www.carrefour.ke/mafken/en/salted-butter/daima-butter-salted-250g/p/16010,380
Daima Butter Unsalted 250G,https://www.carrefour.ke/mafken/en/unsalted-butter/daima-butter-unsalted-250g/p/16011,380
Farmers Choice Frozen Pork Fillet 500g,https://www.carrefour.ke/mafken/en/margarines-other-spread/farmers-c-frozen-pork-fillet-500g/p/39062,679
Lurpak Salted Butter 400G,https://www.carrefour.ke/mafken/en/salted-butter/lurpak-salted-butter-400g/p/109908,1495
Flora Original Spread 500G,https://www.carrefour.ke/mafken/en/margarines-other-spread/flora-regular-margarine-500g/p/7028,780
Lurpak Salted Lighter Spreadable 250G,https://www.carrefour.ke/mafken/en/salted-butter/lurpak-salted-lighter-spreadable-25/p/121599,795
Lurpak Unsalted Spreadable 250G,https://www.carrefour.ke/mafken/en/unsalted-butter/lurpak-unsalted-spreadable-250g/p/121597,795
Carrefour Frozen Quiche Lorraine Pie 400g,https://www.carrefour.ke/mafken/en/margarines-other-spread/crf-frozen-quiche-lorraine-pie-400g/p/18826,1199
Lurpak Salted Olive Oil Spreadable 250G,https://www.carrefour.ke/mafken/en/salted-butter/lurpak-salted-olive-oil-spreadable/p/121600,795
Carrefour Frozen Mini Puff Sausage 350g,https://www.carrefour.ke/mafken/en/margarines-other-spread/crf-frozen-mini-puff-sausage-350g/p/72982,2249
Carrefour Frozen Ham And Cheese Crepes 1Kg,https://www.carrefour.ke/mafken/en/margarines-other-spread/crf-frozen-20-crepes-ham-cheese-1kg/p/72977,1699
Sirimon Cheddar Cheese 500G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/sirimon-cheddar-cheese-500g/p/87128,930
Sirimon Cheese Everyday 500G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/sirimon-cheese-everyday-500g/p/110108,910
Happy Cow Cheese Mozzarella 220G,https://www.carrefour.ke/mafken/en/shredded-grated-cheese/happy-cow-cheese-mozzarella-220g/p/20694,399
Sirimon Cheddar Cheese 250G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/sirimon-cheddar-cheese-250g/p/48724,510
Sirimon Cheese Everyday 250G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/sirimon-cheese-everyday-250g/p/48730,495
Sirimon Feta Cheese 250G,https://www.carrefour.ke/mafken/en/feta-white-cheese/sirimon-feta-cheese-250g/p/48725,525
Arla Mozzarella Shredded Cheese 175G,https://www.carrefour.ke/mafken/en/shredded-grated-cheese/arla-mozzarella-shredded-cheese175g/p/100906,795
Sirimon Mozzarella Cheese 250G,https://www.carrefour.ke/mafken/en/shredded-grated-cheese/sirimon-mozzarella-cheese-250g/p/48728,470
Arla Gouda Cheese Slices 150G,https://www.carrefour.ke/mafken/en/gouda-slices/arla-gouda-cheese-slices-150g/p/107994,920
Browns Lemon & Garlic Hummus 200G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/browns-lemon-garlic-hummus-200g/p/120314,550
Happy Cow Cheese Cheddar 250G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/happy-cow-cheese-cheddar-250g/p/20679,489
Browns Ricotta Low Fat Cheese420G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/browns-ricotta-low-fat-cheese420g/p/130336,587
Happy Cow Cheese Mozzarella 500G,https://www.carrefour.ke/mafken/en/shredded-grated-cheese/happy-cow-cheese-mozzarella-500g/p/20695,799
Sirimon Cheese Mozzarella 500G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/sirimon-cheese-mozzarella-500g/p/110109,890
Sirimon Halloumi Cheese 250G,https://www.carrefour.ke/mafken/en/halloumi-akawi-kashkawal/sirimon-halloumi-cheese-250g/p/48727,530
Browns Cottage Cheese 200G,https://www.carrefour.ke/mafken/en/soft-cheese-cottage/browns-cottage-cheese-200g/p/16422,675
Browns Feta Cheese 200G,https://www.carrefour.ke/mafken/en/feta-white-cheese/browns-feta-cheese-200g/p/16396,599
Aberdare Parmessan Grated Cheese 80G,https://www.carrefour.ke/mafken/en/italian-cheese/aberdare-parmessan-grated-cheese80g/p/16016,360
Laki Laki Labneh Authentic Cream Cheese 250ml,https://www.carrefour.ke/mafken/en/labneh/lakilaki-labneh-a-creamcheese250ml/p/179622,399
Italina Gouda,https://www.carrefour.ke/mafken/en/local-cheese/gouda-formaggio/p/94013,460
Happy Cow Cheddar 8 Cheese Slices 150G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/happy-cow-cheddar-cheese-slic150g/p/118999,550
Arla Natural Cream Cheese 300G,https://www.carrefour.ke/mafken/en/spread-processed-cheese/arla-natural-cream-cheese-300g/p/193136,995
